 3.73983145e-01,  5.79040945e-01, -1.09325528e-01
  1.09144583e-01,  2.99535871e-01,  1.61920100e-01
  5.07401228e-02, -1.23407029e-01,  9.40660089e-02
 -2.23033905e-01, -1.50719672e-01, -6.20510206e-02
 -4.75315869e-01, -2.36322671e-01, -2.64526069e-01
 -5.20388335e-02, -1.21327847e-01, -1.04800500e-01
 -2.91527390e-01, -1.81848049e-01, -1.99871942e-01
 -5.23592532e-01, -3.33972394e-01, -3.47290277e-01
 -6.93375826e-01, -4.74117607e-01, -2.43779391e-01
 -8.06443268e-09,  7.94715227e-09,  1.62337397e-08
 -3.59545916e-01, -1.91999272e-01, -4.59413007e-02
 -5.07480383e-01, -3.27313274e-01, -1.66086823e-01
 -6.92187250e-01, -4.63153809e-01, -2.13184103e-01
  4.36824933e-02,  6.14437088e-02,  1.23843506e-01
 -3.02256078e-01, -1.23751476e-01,  1.65565714e-01
 -3.96006793e-01, -2.54465669e-01,  1.21331714e-01
 -5.82054079e-01, -4.51399475e-01,  1.85805202e-01
  4.45368513e-02,  1.02347441e-01,  2.70310789e-01
 -2.90004700e-01, -6.81262687e-02,  3.77926141e-01
 -3.14096868e-01, -2.18693808e-01,  3.22805971e-01
 -3.67909998e-01, -3.87382746e-01,  4.70647812e-01
